zona,bairro,categoria_risco,ocupacao,área mínima do lote,testada mínima do lote,módulo de fracionamento,face máxima do quarteirão,área máxima do quarteirão,área mínima do quarteirão,enquadramento fracionamento,área de destinação pública – malha viária fracionamento,área de destinação pública – equipamentos fracionamento,enquadramento desmembramento tipo 1,área pública – malha viária desmembramento tipo 1,área pública – equipamentos desmembramento tipo 1,enquadramento desmembramento tipo 2,área pública – malha viária desmembramento tipo 2,área pública – equipamentos desmembramento tipo 2,enquadramento desmembramento tipo 3,área pública – malha viária desmembramento tipo 3,área pública – equipamentos desmembramento tipo 3,enquadramento loteamento,área pública – malha viária loteamento,área pública – equipamentos loteamento,coeficiente de aproveitamento básico,coeficiente de aproveitamento máximo,coeficiente de aproveitamento básico 4d,coeficiente de aproveitamento máximo 4d,altura máxima para edificação isolada,afastamentos - frente,afastamentos - laterais,afastamentos - fundos,taxa de permeabilidade acima de 1500 m2,taxa de permeabilidade até 1500 m2,fator de conversão da taxa de permeabilidade,recuo de jardim,comércio varejista inócuo – restrição porte,comércio varejista ia1 – restrição porte,comércio varejista ia2 – restrição porte,comércio atacadista ia1 – restrição porte,comércio atacadista ia2 – restrição porte,comércio atacadista ia3 – restrição porte,serviço inócuo – restrição porte,serviço ia1 – restrição porte,serviço ia2 – restrição porte,serviço ia3 – restrição porte,indústria inócua – restrição porte,indústria com interferência ambiental – restrição porte,nível de controle de polarização de entretenimento noturno,cod,parcelamento do solo,edificações,atividades,comparativo entre planos,caracteristicas,final
ZONA RURAL,BOA VISTA DO SUL,Ocupação Acima da Cota de Inundação,Rural,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR
ZONA RURAL,LAMI,Ocupação Acima da Cota de Inundação,Rural,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR
ZONA RURAL,BELÉM NOVO,Ocupação Acima da Cota de Inundação,Rural,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR
ZONA RURAL,EXTREMA,Ocupação Acima da Cota de Inundação,Rural,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR
ZONA RURAL,CHAPÉU DO SOL,Ocupação Acima da Cota de Inundação,Rural,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR
ZONA RURAL,SÃO CAETANO,Ocupação Acima da Cota de Inundação,Rural,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR
ZONA RURAL,LAGEADO,Ocupação Acima da Cota de Inundação,Rural,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,Conforme Lei ZR,ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR,CONFORME LC ZR
ZOT 01,RESTINGA,Ocupação Acima da Cota de Inundação,Intensiva,150,5,3000,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,1.5,2.5,Não se aplica,Não se aplica,9,Isento,Isento,Isento,40,30,30,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,Proibido,Nível 2,1,PADRÃO ÁREA URBANA,MUITO BAIXA,PERMITIDO BAIXO LIMITADO MÉDIO PROIBIDO ALTO,PROIBIDO EM VIAS LOCAIS,"A Zona de Ordenamento Territorial 1 (ZOT 1) caracteriza-se pela predominância de usos residenciais, apresentando baixa tendência à transformação do tecido edificado ou restrições de ocupação decorrentes da interface com Áreas de Interesse Cultural ou áreas de relevância ambiental.","A finalidade da ZOT 1 é compatibilizar a preservação das características locais com a diversificação de usos, promovendo a proximidade entre moradia e atividades cotidianas, reduzindo deslocamentos urbanos e estimulando o desenvolvimento econômico local, por meio de incentivos à ocupação qualificada, ao comércio de pequeno porte e a serviços compatíveis com o uso residencial."
ZOT 01,PITINGA,Ocupação Acima da Cota de Inundação,Intensiva,150,5,3000,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,1.5,2.5,Não se aplica,Não se aplica,9,Isento,Isento,Isento,40,30,30,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,Proibido,Nível 2,1,PADRÃO ÁREA URBANA,MUITO BAIXA,PERMITIDO BAIXO LIMITADO MÉDIO PROIBIDO ALTO,PROIBIDO EM VIAS LOCAIS,"A Zona de Ordenamento Territorial 1 (ZOT 1) caracteriza-se pela predominância de usos residenciais, apresentando baixa tendência à transformação do tecido edificado ou restrições de ocupação decorrentes da interface com Áreas de Interesse Cultural ou áreas de relevância ambiental.","A finalidade da ZOT 1 é compatibilizar a preservação das características locais com a diversificação de usos, promovendo a proximidade entre moradia e atividades cotidianas, reduzindo deslocamentos urbanos e estimulando o desenvolvimento econômico local, por meio de incentivos à ocupação qualificada, ao comércio de pequeno porte e a serviços compatíveis com o uso residencial."
ZOT 01,HÍPICA,Ocupação Acima da Cota de Inundação,Intensiva,150,5,3000,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,1.5,2.5,Não se aplica,Não se aplica,9,Isento,Isento,Isento,40,30,30,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,Proibido,Nível 2,1,PADRÃO ÁREA URBANA,MUITO BAIXA,PERMITIDO BAIXO LIMITADO MÉDIO PROIBIDO ALTO,PROIBIDO EM VIAS LOCAIS,"A Zona de Ordenamento Territorial 1 (ZOT 1) caracteriza-se pela predominância de usos residenciais, apresentando baixa tendência à transformação do tecido edificado ou restrições de ocupação decorrentes da interface com Áreas de Interesse Cultural ou áreas de relevância ambiental.","A finalidade da ZOT 1 é compatibilizar a preservação das características locais com a diversificação de usos, promovendo a proximidade entre moradia e atividades cotidianas, reduzindo deslocamentos urbanos e estimulando o desenvolvimento econômico local, por meio de incentivos à ocupação qualificada, ao comércio de pequeno porte e a serviços compatíveis com o uso residencial."
ZOT 01,LOMBA DO PINHEIRO,Ocupação Acima da Cota de Inundação,Intensiva,150,5,3000,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,1.5,2.5,Não se aplica,Não se aplica,9,Isento,Isento,Isento,40,30,30,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,Proibido,Nível 2,1,PADRÃO ÁREA URBANA,MUITO BAIXA,PERMITIDO BAIXO LIMITADO MÉDIO PROIBIDO ALTO,PROIBIDO EM VIAS LOCAIS,"A Zona de Ordenamento Territorial 1 (ZOT 1) caracteriza-se pela predominância de usos residenciais, apresentando baixa tendência à transformação do tecido edificado ou restrições de ocupação decorrentes da interface com Áreas de Interesse Cultural ou áreas de relevância ambiental.","A finalidade da ZOT 1 é compatibilizar a preservação das características locais com a diversificação de usos, promovendo a proximidade entre moradia e atividades cotidianas, reduzindo deslocamentos urbanos e estimulando o desenvolvimento econômico local, por meio de incentivos à ocupação qualificada, ao comércio de pequeno porte e a serviços compatíveis com o uso residencial."
